covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
EMT	0.24181554949292505	1.273559262498595	0.11445729890499014	0.017483365871408613	0.46614773311444146	1.0176370945036846	1.5938424452648452	0.0	2.112714102170572	0.03462524553722049	4.8520318880259135
FIGO_group_II	-0.24342629383539538	0.7839372549112672	0.3334531468241617	-0.8969824521422991	0.41012986447150834	0.40779835603896286	1.5070134799148025	0.0	-0.7300164840362422	0.4653801087158116	1.1035185465212642
FIGO_group_III	0.2993177426357332	1.3489381705552188	0.3530957877211437	-0.3927372843905087	0.9913727696619751	0.6752061114720901	2.694931454357957	0.0	0.8476955915206739	0.3966075221422106	1.3342160546016117
FIGO_group_IV	1.377588147694574	3.9653263036157824	0.31631248835092385	0.7576270626665178	1.99754923272263	2.1332082404015695	7.370969414213048	0.0	4.355149412141604	1.329761852458196e-05	16.198472578365344
